Siperfaqe Totale,Siperfaqe e Brendshme,Dhoma Gjumi,Kati,Statusi,Lloji,Mobiluar,Shikime,Hipoteka,Gjendja,Qera,Cmimi_per_m2,Vendndodhja,Cmimi_Real,Parashikim
54.0,48.0,1.0,4,Listimet e fundit,Apartament,E pa mobiluar,247.0,Në proces certifikimi,Në dispozicion,jo,1205.7777777777778,Durrës - ,65112.0,65368.23323359809
193.0,193.0,3.0,2,Në ndërtim,Vile,E pa mobiluar,77.0,Jo,Në dispozicion,jo,1917.0984455958549,Durrës - ,370000.0,370514.4947344322
124.0,105.0,2.0,4,Në ndërtim,Apartament,E pa mobiluar,174.0,Në proces certifikimi,Në dispozicion,jo,1956.4516129032259,Tirana - ,242600.0,241589.15
120.0,120.0,1.0,2,I Perdorur,Tjeter,Plotesisht i mobiluar,148.0,Po,Në dispozicion,jo,150.0,Durrës - ,18000.0,17035.25
300.0,280.0,3.0,2,I Perdorur,Vile,Plotesisht i mobiluar,684.0,Po,Në dispozicion,po,4.0,Tirana - Daias pas Equos Resort,1200.0,1446.1121736759967
107.0,107.0,2.0,2,Listimet e fundit,Apartament,Gjysme i mobiluar,616.0,Po,Në dispozicion,jo,770.0934579439253,Durrës - ,82400.0,83877.07662301588
65.0,55.0,1.0,1,Në ndërtim,Apartament,E pa mobiluar,485.0,Në proces certifikimi,Në dispozicion,jo,1146.1538461538462,Tirana - Paskuqan. 500 nga unaza e madhe,74500.0,73620.96669860417
573.0,448.0,14.0,3,I Perdorur,Vile,Plotesisht i mobiluar,130.0,Po,Në dispozicion,jo,600.3141361256545,Fier - ,343980.0,360460.1111111111
87.0,76.0,2.0,5,I Perdorur,Apartament,E pa mobiluar,146.0,Në proces certifikimi,Në dispozicion,jo,1264.367816091954,Tirana - ,110000.0,109487.39320077389
62.0,50.0,1.0,3,Në ndërtim,Apartament,E pa mobiluar,335.0,Jo,Në dispozicion,jo,1050.0,Durrës - ,65100.0,64747.48961535904
566.0,344.0,17.0,3,I Perdorur,Vile,Plotesisht i mobiluar,579.0,Po,Në dispozicion,jo,618.3745583038869,Durrës - ,350000.0,349665.83333333326
100.0,100.0,2.0,5,I Perdorur,Apartament,Plotesisht i mobiluar,557.0,Po,Në dispozicion,jo,1350.0,Shëngjin - ,135000.0,135466.95033333334
70.0,61.0,1.0,2,Në ndërtim,Apartament,E pa mobiluar,368.0,Jo,Në dispozicion,jo,2914.285714285714,Durrës - Turquoise Marina. Hamallaj,204000.0,204785.0130952381
198.0,198.0,3.0,2,Në ndërtim,Vile,E pa mobiluar,1050.0,Jo,Në dispozicion,jo,4797.979797979798,Vlorë - Palase/Dhermi,950000.0,829262.1
240.0,240.0,3.0,,I Perdorur,Vile,Gjysme i mobiluar,328.0,Po,Në dispozicion,jo,1583.3333333333333,Tirana - ,380000.0,384419.55
73.0,61.0,1.0,5,Në ndërtim,Apartament,E pa mobiluar,417.0,Jo,Në dispozicion,jo,1205.4794520547946,Durrës - Golem,88000.0,88561.99772584904
133.0,108.0,2.0,1,Listimet e fundit,Apartament,E pa mobiluar,43.0,Në proces certifikimi,Në dispozicion,jo,3924.812030075188,Vlorë - Rr. Bregdet Jale,522000.0,512321.5
149.0,100.0,2.0,7,Listimet e fundit,Tjeter,Plotesisht i mobiluar,209.0,Po,Në dispozicion,po,12.080536912751677,Tirana - ,1800.0,1737.9763888888888
73.0,64.0,1.0,3,Në ndërtim,Apartament,E pa mobiluar,227.0,Jo,Në dispozicion,jo,1205.4794520547946,Tirana - Fund te Bulevardit te Ri,88000.0,88787.4414740067
55.0,55.0,1.0,2,I Perdorur,Apartament,Gjysme i mobiluar,307.0,Në proces certifikimi,Në dispozicion,jo,1000.0,Durrës - Perlat. Hamallaj,55000.0,56763.21411294261
380.0,136.0,3.0,,I Perdorur,Tjeter,,1045.0,Po,Në dispozicion,jo,368.42105263157896,Shkodër - ,140000.0,157547.72826086957
72.0,60.0,1.0,4,Në ndërtim,Apartament,E pa mobiluar,217.0,Jo,Në dispozicion,jo,1250.0,Durrës - Golem,90000.0,89979.19484377041
600.0,500.0,1.0,1,I Perdorur,Komercial,E pa mobiluar,232.0,Po,Në dispozicion,po,3.3333333333333335,Tirana - Rr. Konferenca e Pezes. Sheshi Garibaldi,2000.0,1949.957265143658
582.0,582.0,20.0,4,I Perdorur,Apartament,E pa mobiluar,207.0,Po,Në dispozicion,jo,1490.0,Durrës - ,867180.0,872132.7
119.0,100.0,3.0,1,Në ndërtim,Apartament,E pa mobiluar,418.0,Jo,Në dispozicion,jo,1503.781512605042,Tirana - ,178950.0,179400.14009365637
99.0,99.0,1.0,3,I Perdorur,Apartament,E pa mobiluar,228.0,Po,Në dispozicion,jo,1464.6464646464647,Tirana - Rruga Don Bosko,145000.0,144169.75131873242
70.0,62.0,1.0,5,Listimet e fundit,Apartament,E pa mobiluar,201.0,Në proces certifikimi,Në dispozicion,jo,1789.7142857142858,Durrës - ,125280.0,125224.59564818513
151.0,151.0,2.0,2,I Perdorur,Vile,Plotesisht i mobiluar,1219.0,Në proces certifikimi,Në dispozicion,jo,2913.907284768212,Durrës - ,440000.0,440105.27
432.0,281.0,3.0,,Listimet e fundit,Vile,E pa mobiluar,241.0,Në proces certifikimi,Në dispozicion,jo,1370.3703703703704,Tirana - ,592000.0,585598.1709523809
148.0,74.0,2.0,,I Perdorur,Komercial,Plotesisht i mobiluar,47.0,Po,Në dispozicion,jo,3040.5405405405404,Tirana - ,450000.0,395500.25
313.0,313.0,3.0,3,Listimet e fundit,Vile,E pa mobiluar,103.0,Jo,Në dispozicion,jo,1469.6485623003196,Tirana - ,460000.0,467831.2666666667
61.0,56.0,1.0,7,I Perdorur,Apartament,Plotesisht i mobiluar,155.0,Po,Në dispozicion,jo,1278.688524590164,Vlorë - ,78000.0,78647.04969199994
55.0,55.0,1.0,4,I Perdorur,Apartament,E pa mobiluar,86.0,Po,Në dispozicion,jo,1490.0,Durrës - ,81950.0,81396.39195833333
70.0,62.0,1.0,,Listimet e fundit,Apartament,E pa mobiluar,209.0,Jo,Në dispozicion,jo,955.4285714285714,Durrës - ,66880.0,67381.75115740793
135.0,120.0,3.0,6,Listimet e fundit,Apartament,E pa mobiluar,91.0,Jo,Në dispozicion,jo,1696.2962962962963,Tirana - Bulevardi i Ri,229000.0,224819.00761904762
75.0,66.0,1.0,3,Listimet e fundit,Apartament,E pa mobiluar,309.0,Po,Në dispozicion,jo,1650.0,Durrës - Golem,123750.0,124266.51889874015
125.0,125.0,1.0,1,I Perdorur,Komercial,E pa mobiluar,574.0,Po,Në dispozicion,jo,5200.0,Tirana - Ish Blloku. prane LSI,650000.0,596620.0
91.0,79.0,2.0,6,Në ndërtim,Apartament,E pa mobiluar,381.0,Në proces certifikimi,Në dispozicion,jo,1854.0,Tirana - Bulevardi i Ri,168714.0,168259.10366666666
120.0,106.0,2.0,3,I Perdorur,Apartament,Plotesisht i mobiluar,128.0,Po,Në dispozicion,po,9.166666666666666,Tirana - Komuna e Parisit,1100.0,1194.607235934038
49.0,43.0,1.0,,Listimet e fundit,Tjeter,E pa mobiluar,197.0,Jo,Në dispozicion,jo,1200.0,Durrës - Mali i robit.Golem!,58800.0,58597.824771443826
309.0,309.0,4.0,3,I Perdorur,Vile,Gjysme i mobiluar,5638.0,Po,Në dispozicion,jo,2103.559870550162,Vlorë - ,650000.0,667849.4742857142
156.0,156.0,4.0,1,I Perdorur,Apartament,Plotesisht i mobiluar,82.0,Po,Në dispozicion,jo,1923.076923076923,Durrës - Vollga,300000.0,303766.5847338936
343.0,343.0,4.0,3,Listimet e fundit,Vile,E pa mobiluar,898.0,Jo,Në dispozicion,jo,1603.4985422740524,Tirana - Farke e Vogel,550000.0,554409.15
112.0,112.0,2.0,6,I Perdorur,Apartament,,936.0,Po,Në dispozicion,jo,821.4285714285714,Durrës - ,92000.0,94885.13656510701
62.0,55.0,1.0,3,Në ndërtim,Apartament,E pa mobiluar,793.0,Jo,Në dispozicion,jo,967.741935483871,Durrës - Golem,60000.0,59558.312919191914
110.0,96.0,2.0,8,Në ndërtim,Apartament,E pa mobiluar,162.0,Në proces certifikimi,Në dispozicion,jo,1133.6363636363637,Tirana - Rrethrrotullimi i Shkozes,124700.0,125232.05870108225
219.0,116.0,2.0,,Në ndërtim,Apartament,E pa mobiluar,381.0,Jo,Në dispozicion,jo,1182.648401826484,Tirana - TEG,259000.0,252944.5416666667
389.0,202.0,6.0,3,I Perdorur,Vile,Plotesisht i mobiluar,307.0,Po,Në dispozicion,po,25.70694087403599,Durrës - Rruga Qetesia,10000.0,33859.166666666664
267.0,171.0,3.0,,Në ndërtim,Vile,E pa mobiluar,227.0,Jo,Në dispozicion,jo,2471.9101123595506,Durrës - Porto Lalzi. Hamallaj,660000.0,648495.8125
30.0,30.0,1.0,,I Perdorur,Komercial,E pa mobiluar,72.0,Po,Në dispozicion,jo,4000.0,Tirana - Kodra e Diellit,120000.0,135939.5
608.0,608.0,5.0,1.2.3,I Perdorur,Vile,Plotesisht i mobiluar,532.0,Po,Në dispozicion,po,6.578947368421052,Tirana - ,4000.0,4309.890570535248
82.0,74.0,1.0,1,Listimet e fundit,Apartament,Plotesisht i mobiluar,289.0,Në proces certifikimi,Në dispozicion,jo,2512.1951219512193,Vlorë - ,206000.0,204982.87916666668
